,Zip_simple,tot_accidents
1025,22102,860
1026,23462,859
1027,19046,859
1028,91356,858
1029,22003,858
1030,95603,858
1031,75202,856
1032,85256,856
1033,43228,855
1034,35243,855
1035,85323,853
1036,77019,853
1037,29680,852
1038,32246,852
1039,90720,852
1040,97526,852
1041,80112,852
1042,95129,851
1043,68154,851
1044,95032,850
1045,22043,849
1046,77080,848
1047,17522,848
1048,55426,847
1049,14225,846
1050,92025,845
1051,60172,842
1052,77028,842
1053,29472,840
1054,29118,840
1055,19438,840
1056,92122,840
1057,95121,838
1058,20147,837
1059,19034,837
1060,60073,837
1061,33069,837
1062,80401,836
1063,29170,835
1064,17545,835
1065,74136,834
1066,32258,834
1067,94945,834
1068,74115,834
1069,80221,832
1070,29485,832
1071,10314,832
1072,29016,830
1073,98057,830
1074,78735,830
1075,23503,830
1076,78230,829
1077,12550,827
1078,19422,827
1079,73162,827
1080,63131,826
1081,93550,825
1082,92371,824
1083,48030,824
1084,75149,823
1085,29841,823
1086,70820,822
1087,40222,822
1088,11375,822
1089,33409,822
1090,23228,822
1091,45410,822
1092,30303,822
1093,30815,821
1094,17406,821
1095,35401,821
1096,19720,821
1097,22101,820
1098,91311,819
1099,98001,817
1100,23237,817
1101,07083,816
1102,85712,815
1103,77396,813
1104,94010,813
1105,29325,812
1106,48224,811
1107,01821,811
1108,95814,811
1109,75043,809
1110,29445,809
1111,92701,808
1112,11435,808
1113,33578,808
1114,77012,808
1115,77030,808
1116,95336,808
1117,85224,807
1118,93725,807
1119,95003,807
1120,78210,804
1121,63141,803
1122,55122,803
1123,90265,801
1124,60083,801
1125,29690,801
1126,97470,801
1127,11706,800
1128,95678,800
1129,37212,800
1130,95864,799
1131,07018,799
1132,30253,799
1133,34746,798
1134,55102,798
1135,92614,798
1136,95632,797
1137,11209,796
1138,36608,796
1139,95242,795
1140,98201,795
1141,94401,794
1142,43223,794
1143,14620,793
1144,34135,793
1145,68104,793
1146,78201,792
1147,14615,790
1148,80223,790
1149,06108,790
1150,97138,789
1151,60525,788
1152,60618,787
1153,33431,787
1154,37221,787
1155,94513,786
1156,33761,786
1157,91301,786
1158,10451,784
1159,97601,784
1160,94566,782
1161,90028,782
1162,55421,782
1163,46254,782
1164,33712,781
1165,95138,781
1166,21208,780
1167,98418,779
1168,14611,779
1169,95380,779
1170,85007,778
1171,27614,778
1172,92521,778
1173,19044,778
1174,33125,777
1175,60630,777
1176,73117,777
1177,84106,776
1178,45202,776
1179,41018,776
1180,33903,775
1181,73149,774
1182,70814,773
1183,94089,773
1184,91214,773
1185,22033,772
1186,94523,772
1187,22312,772
1188,06095,771
1189,97756,771
1190,29018,770
1191,94510,768
1192,10035,768
1193,33907,767
1194,89502,767
1195,80014,767
1196,77048,767
1197,60642,766
1198,36116,766
1199,92117,766
1200,21093,765
1201,84054,765
1202,45439,764
1203,68111,763
1204,74105,763
1205,14610,762
1206,33971,762
1207,80118,761
1208,98404,761
1209,02905,760
1210,95762,760
1211,97062,760
1212,84041,760
1213,02155,760
1214,74107,760
1215,29566,757
1216,94602,756
1217,40220,756
1218,19001,756
1219,77373,755
1220,91101,755
1221,91737,754
1222,47374,754
1223,73135,753
1224,33605,753
1225,30907,751
1226,97213,751
1227,06880,751
1228,84015,751
1229,75205,750
1230,33544,750
1231,33908,749
1232,12189,747
1233,97209,747
1234,10454,747
1235,35204,746
1236,11566,746
1237,11746,746
1238,23150,745
1239,74129,745
1240,80210,745
1241,94941,745
1242,97225,745
1243,77016,744
1244,85029,743
1245,94606,742
1246,43230,742
1247,33054,741
1248,92505,741
1249,95366,740
1250,34208,740
1251,85710,739
1252,10465,738
1253,02908,738
1254,97502,738
1255,40202,738
1256,23229,737
1257,97701,737
1258,27605,737
1259,87102,737
1260,10994,736
1261,94402,735
1262,30328,735
1263,93274,735
1264,07111,734
1265,30329,733
1266,10591,733
1267,77025,733
1268,48180,733
1269,92131,732
1270,01824,732
1271,55435,732
1272,90002,731
1273,91361,731
1274,95682,730
1275,33928,728
1276,27406,727
1277,91320,727
1278,90621,724
1279,84044,724
1280,77018,724
1281,85704,723
1282,33407,723
1283,80104,723
1284,60101,722
1285,37421,722
1286,97322,721
1287,91316,721
1288,85714,720
1289,77031,720
1290,34744,720
1291,60046,720
1292,32771,720
1293,48529,719
1294,92111,719
1295,55106,719
1296,98122,718
1297,95131,718
1298,21090,718
1299,68138,718
1300,23235,717
1301,95404,717
1302,91326,717
1303,20814,716
1304,49506,716
1305,10801,716
1306,37601,716
1307,53233,716
1308,35045,714
1309,23233,713
1310,97227,713
1311,85345,712
1312,77061,712
1313,38106,711
1314,78204,709
1315,33486,709
1316,92653,709
1317,78229,708
1318,30035,708
1319,29575,708
1320,78247,707
1321,33604,707
1322,75287,706
1323,33441,705
1324,55431,705
1325,78227,705
1326,29036,705
1327,27703,704
1328,55344,704
1329,43219,703
1330,80233,703
1331,48228,702
1332,78219,702
1333,53208,701
1334,90004,701
1335,29803,699
1336,85260,698
1337,94603,698
1338,60516,698
1339,14580,698
1340,37216,697
1341,30341,697
1342,49508,697
1343,95829,697
1344,60561,697
1345,97402,696
1346,78729,696
1347,46208,695
1348,93003,695
1349,48210,694
1350,40229,694
1351,85032,694
1352,53221,693
1353,29053,693
1354,32803,692
1355,07003,692
1356,21237,691
1357,02125,690
1358,29020,690
1359,90029,690
1360,92506,690
1361,85286,689
1362,77064,689
1363,95757,689
1364,29669,688
1365,90404,688
1366,94503,687
1367,28105,687
1368,21740,687
1369,32750,687
1370,95240,686
1371,95134,686
1372,32216,686
1373,10598,685
1374,33144,685
1375,92014,683
1376,97603,683
1377,63044,682
1378,60089,682
1379,60002,681
1380,84129,681
1381,63128,681
1382,80022,681
1383,19040,680
1384,40241,679
1385,60620,679
1386,94019,678
1387,95621,678
1388,43207,678
1389,85051,678
1390,55405,677
1391,55119,676
1392,29376,675
1393,35203,674
1394,08879,674
1395,33762,673
1396,22151,673
1397,95205,673
1398,32751,673
1399,97504,672
1400,90701,672
1401,22310,672
1402,55130,672
1403,30344,672
1404,93012,671
1405,60099,671
1406,10128,670
1407,85741,670
1408,85326,669
1409,18104,669
1410,55414,669
1411,92563,666
1412,23112,666
1413,33781,664
1414,30337,664
1415,06511,663
1416,85033,663
1417,91106,663
1418,93036,662
1419,32792,662
1420,90041,661
1421,33324,661
1422,94110,661
1423,90058,661
1424,39402,661
1425,94547,660
1426,74112,658
1427,95843,658
1428,55120,658
1429,08865,657
1430,06103,657
1431,20901,657
1432,92124,657
1433,77339,657
1434,76017,656
1435,14608,656
1436,85024,656
1437,46268,656
1438,78719,655
1439,35242,654
1440,21228,654
1441,49548,653
1442,92805,653
1443,23320,653
1444,20877,652
1445,98056,652
1446,94579,652
1447,34601,651
1448,98499,651
1449,70811,651
1450,68132,650
1451,95901,650
1452,37218,650
1453,60064,649
1454,46217,649
1455,30336,649
1456,19136,648
1457,66102,648
1458,20024,648
1459,92007,648
1460,02914,648
1461,29045,648
1462,10704,648
1463,80111,647
1464,37411,647
1465,10552,646
1466,85353,646
1467,94589,646
1468,74104,645
1469,97002,645
1470,11717,645
1471,95008,645
1472,98112,644
1473,91767,644
1474,85017,644
1475,61554,644
1476,29642,643
1477,32811,642
1478,55374,642
1479,95307,642
1480,33634,642
1481,19801,641
1482,90255,641
1483,64116,641
1484,27608,641
1485,45449,641
1486,29360,640
1487,68127,639
1488,55362,638
1489,48334,638
1490,97239,638
1491,17401,637
1492,02909,637
1493,34609,637
1494,12524,637
1495,29550,637
1496,77090,636
1497,76140,636
1498,90222,636
1499,10567,636
1500,29418,636
1501,78217,635
1502,91201,635
1503,27511,634
1504,98036,634
1505,97424,632
1506,92860,632
1507,30305,632
1508,98033,632
1509,78664,632
1510,95630,631
1511,76053,631
1512,29945,631
1513,95062,631
1514,33511,631
1515,29532,630
1516,27513,630
1517,85716,630
1518,32221,630
1519,92376,629
1520,55379,629
1521,98223,629
1522,73142,628
1523,29702,628
1524,64108,627
1525,33172,627
1526,63042,627
1527,93010,626
1528,60612,626
1529,10603,625
1530,49525,625
1531,11231,624
1532,07054,623
1533,92121,623
1534,95231,623
1535,70507,623
1536,46237,622
1537,84037,622
1538,33411,622
1539,74120,622
1540,94590,622
1541,19027,622
1542,92647,622
1543,97624,621
1544,55121,621
1545,85743,620
1546,97401,620
1547,74128,620
1548,07306,619
1549,20706,618
1550,94619,618
1551,37205,618
1552,78215,618
1553,20774,617
1554,32226,617
1555,92867,616
1556,10305,616
1557,07652,616
1558,97071,615
1559,80202,615
1560,21061,615
1561,95123,614
1562,07016,614
1563,50313,614
1564,29330,613
1565,64106,613
1566,29440,613
1567,11362,613
1568,95819,612
1569,94596,612
1570,92103,612
1571,91001,612
1572,55044,611
1573,46222,611
1574,85003,610
1575,20910,610
1576,10604,610
1577,78756,610
1578,68046,609
1579,95358,609
1580,29536,609
1581,08096,609
1582,33584,608
1583,94515,608
1584,38134,608
1585,78725,608
1586,95203,608
1587,93703,607
1588,35806,607
1589,01844,607
1590,02886,606
1591,97741,605
1592,14605,604
1593,17543,604
1594,95060,603
1595,29936,603
1596,43204,603
1597,35216,603
1598,30519,602
1599,60087,602
1600,97477,602
1601,01801,602
1602,20019,601
1603,66215,601
1604,95045,601
1605,89431,601
1606,32832,601
1607,94801,600
1608,10532,600
1609,92313,600
1610,94002,600
1611,29710,599
1612,23831,599
1613,21075,599
1614,90056,598
1615,20850,598
1616,64137,597
1617,98270,597
1618,33563,597
1619,12303,597
1620,98208,596
1621,20164,596
1622,78209,596
1623,73102,596
1624,06120,595
1625,70583,595
1626,85037,595
1627,34241,594
1628,19020,594
1629,92591,593
1630,29646,593
1631,95124,593
1632,44109,593
1633,46221,592
1634,77094,592
1635,77085,591
1636,98043,590
1637,77338,590
1638,93063,590
1639,85204,590
1640,78251,590
1641,98155,589
1642,48091,588
1643,46224,588
1644,33764,588
1645,01867,588
1646,77089,588
1647,71106,588
1648,33637,588
1649,77053,587
1650,20770,586
1651,75074,586
1652,76106,586
1653,33175,585
1654,29135,585
1655,29627,584
1656,90247,584
1657,34655,584
1658,30038,584
1659,29569,584
1660,11357,583
1661,20705,583
1662,90605,583
1663,19440,582
1664,40206,581
1665,71101,580
1666,76051,580
1667,93563,579
1668,48502,579
1669,22554,579
1670,64055,578
1671,91776,578
1672,15212,578
1673,33064,578
1674,90066,577
1675,77038,577
1676,43123,577
1677,32224,577
1678,95363,576
1679,11101,576
1680,44115,576
1681,98121,575
1682,29626,575
1683,98106,575
1684,34606,575
1685,92037,575
1686,21236,575
1687,92802,575
1688,29154,574
1689,60608,574
1690,95616,574
1691,74114,573
1692,55118,573
1693,33015,573
1694,23226,572
1695,06902,572
1696,08816,572
1697,55305,571
1698,84088,571
1699,23221,571
1700,55428,570
1701,92081,570
1702,23059,570
1703,08837,569
1704,90731,569
1705,91605,568
1706,80222,568
1707,85338,568
1708,79901,568
1709,15220,568
1710,38120,567
1711,29420,567
1712,33460,567
1713,63110,566
1714,33122,566
1715,02910,566
1716,78237,565
1717,14607,565
1718,29568,564
1719,79903,564
1720,11222,563
1721,32701,563
1722,33334,563
1723,29906,563
1724,84025,563
1725,33023,562
1726,23803,562
1727,33056,562
1728,43229,561
1729,97501,561
1730,29180,561
1731,33143,560
1732,21207,560
1733,90077,560
1734,35805,560
1735,29160,560
1736,32703,559
1737,33771,558
1738,95822,557
1739,32583,557
1740,11577,556
1741,33142,556
1742,94030,556
1743,98021,556
1744,55422,554
1745,78732,554
1746,29707,554
1747,11590,554
1748,92154,553
1749,19805,553
1750,55343,553
1751,21234,553
1752,97128,552
1753,55126,552
1754,70122,552
1755,12590,551
1756,10459,551
1757,29010,551
1758,12540,551
1759,29910,550
